id,text
1244401293097140224,: The UK government can now legally access your phone location data to see who you might have spread coronavirus to. I'm …
1244401293155860482,: Thanks to for passing me the microphone &amp; letting me ask my second question. I asked: Which health professionals…
1244401292887216134,After all these efforts he lost control 🤦‍️
1244401293009006593,": Corona go na... Abeg.. Because I want him to carry me again on that day. But this time, me facing him 🥰🥰🥰"
1244401293105467395,: Biden Claims “Over Million People” Have Watched His Livestreams… But Only People Watched His Coronavirus Town Hal…
1244401293285896193,Those people that wrote new year resolutions was Corona included?
1244401293004660737,: An example of a secondary risk. Whilst trying to solve one problem we have just made things worse here.
1244401293311041538,It’s called COVID19 because we are all gonna gain fucking pounds.
1244401293285703681,": ABC: You told CNBC a month ago that the coronavirus was ""contained."" Why should people trust you? LARRY KUDLOW: ""Look, I'm as…"
1244401293289861120,: Fox News Channel made the decision to cut away from the daily White House coronavirus task force briefing on Friday. htt…
1244401293327839233,: Great initiative by to provide more for downtown residents to keep active + their physical…
1244401293239570433,: “dah lama tak makan sayur“ &amp; the T20 are crying bcs they’re losing millions? while resting in their luxurious place? after s…
1244401293432668162,": The lockdown makes me so relieved. It's not the end, but it's an incredibly important necessity."
1244401293562609668,: My uncle died today. Without his family by his side. He had
1244401293537562627,: Thanks to for passing me the microphone &amp; letting me ask my second question. I asked: Which health professionals…
1244401293659189248,": So this happened twice today, with and : Reporters read Trump quote back to him, Trump denies and attacks.…"
1244401293759852545,": This is odd, especially when the the hospital is empty…"
1244401293659123716,: This is a clown car government.
1244401293818560512,: Awesome President Donald Trump says the United States will not foot the estimated $1 million-a-year bill for security fo…
1244401293793333250,This is a damn Greek tragedy
1244401293977944065,: .⁦⁩ ⁦⁩ Todd is a media whore who will pimp himself for anything at anyone’s eense to draw attentio…
1244401293956984835,: nigga tried to say epidemic and jus gave up LMAOOOO
1244401293935775744,: Whatever the solution ends up being as long as the tax payer does not pay a penny towards helping West ham.
1244401294095376387,: There's something worse than in Palestine. Good night
1244401294049067009,: Hide your kids Hide your wives Hide your husbands Hide your grandparents for another days cause the coronavirus killing…
1244401294145552384,: WATCH: Sen. Cotton takes on China regarding origins of the coronavirus
1244401296779751425,: lockdown till JUNE?????? i can’t breathe. i need air. i’m claustrophobic Darren
1244401296775544833,": ""...I've been talking to Fox insiders over the last few days, there's a real concern inside the network that their early…"
1244401296917946370,": Kenyans listen. There are no enough hospitals,enough health workers,enough ventilators or even resources to handle mass in…"
