79,I guess it's an important piece of music history but paying almost a million $ is just wrong especially now when health workers on front lines of #COVID19 can't get PPE &amp; millions are out of work. A stark illustration of inequality of wealth distribution. https://t.co/oT2mO44btR
80,This is brainwashing
81,"#nnevvy One of the biggest joke in 2020: Corona virus does not come from China. Only stupid people will believe this. Oh wait, chinese people do."
82,Sitting ducks 🐥🐥🐥
83,AG Barr: DOJ is criminally charging coronavirus scammers https://t.co/wUCMakOJQh
84,"Curious if people in the rushed COVID19 vaccine trials were informed that this may be the most dangerous vaccine ever attempted. Previous animal studies revealed “Antibody Immune Enhancement”, meaning they could potentially die once exposed to the virus. https://t.co/zoTxtIR0Va"
85,Herd Immunity in Sweden. They should have never followed us.
86,"NEW: The Preparedness Problem — how America spent 20 years getting ready to fight a pandemic, and then dropped the ball when it finally arrived. https://t.co/FAovycKrZP #longread"
87,Like or RT if you will NOT be taking a Coronavirus vaccine.
88,Ab Yeh ‘Under Special Operation’ kya hai ???
89,"To sum up, sure we need massive testing. But digital surveillance is an orthogonal means that can help track a large population, all of whom are eager to return to work and life as it existed pre-#COVID19. It should be part of the exit-ramp plan 10/x"
90,"Coronavirus pandemic visibly causes pollution levels to drop in South Florida
https://t.co/xOmf6wz47E"
91,Chinese disinformation peddlers: https://t.co/WrOnzxVTqm
92,"@ConnersSandy @mkraju You're the halfwit...that claim has been debunked over and over. Trump never called the virus a hoax....he called the politicizing of it a hoax
https://t.co/J1VrZeoEyO"
93,"As Attorney General of CA, I fought price gouging during wildfires, and I’m proud to introduce a bill with @ewarren to make price gouging illegal nationwide. We have to do what we can to protect consumers against those who’d take advantage of a crisis like the coronavirus."
94,"As Attorney General of CA, I fought price gouging during wildfires, and I’m proud to introduce a bill with @ewarren to make price gouging illegal nationwide. We have to do what we can to protect consumers against those who’d take advantage of a crisis like the coronavirus."
95,"The families of those that China burned alive would still like for them to be counted, thanks. https://t.co/AtntXQrPfn"
96,"Early in Trump’s presidency, I said that there would eventually be some measure of Trump-Related Deaths.

We’re there."
97,"Bill Maher Defies Liberal PC Police, Blames China For Coronavirus https://t.co/3qMKgI6jQ8"
98,@HasibaAmin @rahulkanwal https://t.co/n7OV832quS. Whts r  these special operation cases mohtarma
99,"Coronavirus: Does Taiwan's exclusion from the WHO endanger public health?
https://t.co/Ej1bY1C61A"
100,"Hero @TheDeverakonda launches Face Protection Shields 

Appeals to people not to break lockdown.

#VijayDeverakonda also hails the efforts of @TelanganaDGP, @TelanganaCOPs and Health Care workers for their outstanding work during #CoronaCrisisCharity https://t.co/u3kThI15n3"
101,@marcozolanski @MisterBroRo its corona
102,"Due to #COVID19#2 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through CashApp, Apple Pay # or Zelle 🏦 drop all tags in comments) 🥳❤️ 
#CashAppWisdom #COVID19"
